PRECINCT,NAME,VOTERS,BALLOTS,GEORGE MCKENNA,ALEX JOHNSON
2500001A,GARDENA,863.0,101.0,55.0,44.0
2500002A,GARDENA,1024.0,153.0,90.0,61.0
2500005A,GARDENA,815.0,95.0,48.0,47.0
2500007A,GARDENA,1025.0,111.0,53.0,58.0
2500008A,GARDENA,1165.0,120.0,53.0,67.0
2500041A,GARDENA,1143.0,73.0,33.0,40.0
2500046A,GARDENA,1108.0,127.0,57.0,70.0
2700092A,HAWTHORNE,1140.0,135.0,86.0,49.0
2700094A,HAWTHORNE,1015.0,136.0,80.0,55.0
2950022B,INGLEWOOD,257.0,38.0,26.0,12.0
7510001A,VIEW PARK,1245.0,273.0,204.0,67.0
7510003C,VIEW PARK,1371.0,271.0,182.0,89.0
7510004A,VIEW PARK,772.0,128.0,73.0,54.0
7510006A,VIEW PARK,1275.0,213.0,117.0,95.0
7510008A,VIEW PARK,1063.0,252.0,170.0,81.0
7510009B,VIEW PARK,1282.0,245.0,152.0,90.0
7510010A,VIEW PARK,969.0,238.0,178.0,59.0
7510012A,VIEW PARK,1025.0,315.0,236.0,78.0
7670001A,WEST ATHENS,1127.0,59.0,33.0,23.0
7670003A,WEST ATHENS,1125.0,62.0,27.0,34.0
7670004A,WEST ATHENS,1165.0,57.0,22.0,33.0
7670005A,WEST ATHENS,849.0,42.0,16.0,26.0
7670006A,WEST ATHENS,1111.0,157.0,100.0,56.0
7670007A,WEST ATHENS,865.0,43.0,17.0,24.0
7670009A,WEST ATHENS,1209.0,42.0,18.0,24.0
7670010A,WEST ATHENS,1101.0,78.0,28.0,50.0
7670011A,WEST ATHENS,760.0,89.0,51.0,38.0
7670012B,WEST ATHENS,1178.0,108.0,55.0,52.0
7670013A,WEST ATHENS,841.0,101.0,53.0,44.0
7670014A,WEST ATHENS,978.0,35.0,16.0,18.0
7670015A,WEST ATHENS,755.0,30.0,14.0,16.0
7670016A,WEST ATHENS,950.0,41.0,22.0,18.0
7670017A,WEST ATHENS,1052.0,58.0,37.0,20.0
7670018A,WEST ATHENS,894.0,86.0,44.0,41.0
7670019A,WEST ATHENS,791.0,68.0,40.0,26.0
7670020A,WEST ATHENS,974.0,141.0,58.0,82.0
7670021A,WEST ATHENS,856.0,113.0,71.0,41.0
7670022A,WEST ATHENS,1060.0,42.0,26.0,16.0
7670023A,WEST ATHENS,949.0,94.0,56.0,38.0
7670024A,WEST ATHENS,831.0,68.0,39.0,28.0
9000002A,LOS ANGELES,840.0,107.0,66.0,40.0
9000006A,LOS ANGELES,1292.0,146.0,95.0,51.0
9000272A,LOS ANGELES,723.0,92.0,55.0,37.0
9000282A,LOS ANGELES,1141.0,68.0,37.0,31.0
9000283A,LOS ANGELES,1043.0,124.0,59.0,65.0
9000284C,LOS ANGELES,959.0,153.0,71.0,82.0
9000285A,LOS ANGELES,1256.0,192.0,78.0,111.0
9000288A,LOS ANGELES,1286.0,227.0,117.0,110.0
9000296C,LOS ANGELES,1277.0,114.0,61.0,50.0
9000366A,LOS ANGELES,1160.0,118.0,39.0,79.0
9000533A,LOS ANGELES,1103.0,72.0,29.0,42.0
9000554A,LOS ANGELES,551.0,1.0,1.0,0.0
9000650C,LOS ANGELES,1364.0,86.0,29.0,53.0
9000824A,LOS ANGELES,751.0,42.0,17.0,25.0
9000908A,LOS ANGELES,1057.0,112.0,42.0,70.0
9000944A,LOS ANGELES,1263.0,86.0,44.0,42.0
9000945B,LOS ANGELES,1095.0,103.0,36.0,66.0
9000948A,LOS ANGELES,1120.0,257.0,183.0,71.0
9001000A,LOS ANGELES,760.0,85.0,34.0,49.0
9001000C,LOS ANGELES,687.0,40.0,12.0,28.0
9001024A,LOS ANGELES,948.0,44.0,16.0,27.0
9001026C,LOS ANGELES,1062.0,73.0,29.0,42.0
9001030A,LOS ANGELES,1160.0,102.0,52.0,50.0
9001111A,LOS ANGELES,1189.0,63.0,36.0,26.0
9001175A,LOS ANGELES,1325.0,135.0,78.0,57.0
9001189B,LOS ANGELES,956.0,60.0,28.0,32.0
9001190D,LOS ANGELES,989.0,92.0,57.0,34.0
9001246A,LOS ANGELES,1187.0,102.0,63.0,39.0
9001256B,LOS ANGELES,352.0,31.0,21.0,10.0
9001257B,LOS ANGELES,1174.0,105.0,73.0,32.0
9001290A,LOS ANGELES,1242.0,226.0,155.0,66.0
9001291A,LOS ANGELES,1336.0,78.0,38.0,40.0
9001434A,LOS ANGELES,1089.0,93.0,62.0,30.0
9001444A,LOS ANGELES,1350.0,72.0,45.0,27.0
9001449A,LOS ANGELES,1314.0,88.0,48.0,40.0
9001454A,LOS ANGELES,1122.0,176.0,106.0,69.0
9001455A,LOS ANGELES,848.0,127.0,84.0,39.0
9001456A,LOS ANGELES,1349.0,186.0,131.0,54.0
9001457A,LOS ANGELES,1323.0,92.0,34.0,56.0
9001461A,LOS ANGELES,1096.0,69.0,46.0,23.0
9001463A,LOS ANGELES,1192.0,95.0,62.0,32.0
9001465C,LOS ANGELES,1311.0,142.0,69.0,68.0
9001470B,LOS ANGELES,897.0,84.0,37.0,46.0
9001471A,LOS ANGELES,1171.0,142.0,88.0,52.0
9001472A,LOS ANGELES,1359.0,196.0,125.0,69.0
9001474C,LOS ANGELES,1042.0,178.0,120.0,57.0
9001480A,LOS ANGELES,1256.0,49.0,25.0,24.0
9001485A,LOS ANGELES,1175.0,59.0,27.0,32.0
9001490A,LOS ANGELES,1222.0,60.0,32.0,28.0
9001492A,LOS ANGELES,1110.0,92.0,37.0,54.0
9001502A,LOS ANGELES,794.0,41.0,26.0,15.0
9001522A,LOS ANGELES,1097.0,103.0,58.0,43.0
9001525A,LOS ANGELES,1301.0,156.0,89.0,67.0
9001532A,LOS ANGELES,1063.0,102.0,65.0,36.0
9001533A,LOS ANGELES,758.0,47.0,27.0,19.0
9001535A,LOS ANGELES,1073.0,44.0,19.0,25.0
9001551A,LOS ANGELES,1070.0,116.0,58.0,56.0
9001582B,LOS ANGELES,537.0,25.0,9.0,15.0
9001582C,LOS ANGELES,1020.0,47.0,18.0,29.0
9001583B,LOS ANGELES,1259.0,47.0,28.0,18.0
9001591C,LOS ANGELES,1171.0,53.0,18.0,35.0
9001613D,LOS ANGELES,829.0,85.0,53.0,31.0
9001617A,LOS ANGELES,858.0,60.0,24.0,35.0
9001621A,LOS ANGELES,1060.0,116.0,66.0,49.0
9001623A,LOS ANGELES,868.0,83.0,56.0,27.0
9001681A,LOS ANGELES,1016.0,77.0,36.0,41.0
9001684A,LOS ANGELES,1162.0,50.0,25.0,25.0
9001711A,LOS ANGELES,1077.0,138.0,80.0,57.0
9001716A,LOS ANGELES,1284.0,101.0,41.0,57.0
9001719A,LOS ANGELES,934.0,37.0,12.0,25.0
9001721A,LOS ANGELES,1118.0,72.0,22.0,49.0
9001725A,LOS ANGELES,746.0,65.0,24.0,39.0
9001727A,LOS ANGELES,816.0,52.0,21.0,30.0
9001729A,LOS ANGELES,1339.0,163.0,81.0,77.0
9001730B,LOS ANGELES,973.0,162.0,95.0,67.0
9001738A,LOS ANGELES,697.0,80.0,36.0,43.0
9001747A,LOS ANGELES,1169.0,99.0,48.0,49.0
9001751A,LOS ANGELES,1211.0,46.0,16.0,26.0
9001755A,LOS ANGELES,1227.0,88.0,34.0,52.0
9001757A,LOS ANGELES,738.0,36.0,20.0,16.0
9001762A,LOS ANGELES,1140.0,78.0,28.0,50.0
9001764A,LOS ANGELES,1194.0,101.0,52.0,48.0
9001765A,LOS ANGELES,908.0,76.0,38.0,38.0
9001767A,LOS ANGELES,851.0,78.0,38.0,40.0
9001768A,LOS ANGELES,1164.0,86.0,35.0,51.0
9001769C,LOS ANGELES,1219.0,104.0,46.0,58.0
9001770A,LOS ANGELES,1116.0,89.0,34.0,55.0
9001776B,LOS ANGELES,1267.0,131.0,55.0,72.0
9001777B,LOS ANGELES,878.0,82.0,31.0,50.0
9001779C,LOS ANGELES,923.0,75.0,40.0,35.0
9001782A,LOS ANGELES,955.0,80.0,30.0,50.0
9001782B,LOS ANGELES,749.0,41.0,15.0,26.0
