BOROUGH,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
Brooklyn,0K,GEN ED,-,-,-,17264.0,783.0,22.0
Brooklyn,0K,CTT,-,-,-,3056.0,149.0,20.5
Brooklyn,0K,G&T,-,-,-,390.0,21.0,18.6
Brooklyn,01,GEN ED,-,-,-,18658.0,823.0,22.7
Brooklyn,01,CTT,-,-,-,2783.0,126.0,22.1
Brooklyn,01,G&T,-,-,-,512.0,22.0,23.3
Brooklyn,02,GEN ED,-,-,-,18083.0,784.0,23.1
Brooklyn,02,CTT,-,-,-,2775.0,123.0,22.6
Brooklyn,02,G&T,-,-,-,370.0,17.0,21.8
Brooklyn,03,GEN ED,-,-,-,17201.0,737.0,23.3
Brooklyn,03,CTT,-,-,-,2803.0,120.0,23.4
Brooklyn,03,G&T,-,-,-,817.0,36.0,22.7
Brooklyn,04,GEN ED,-,-,-,16729.0,674.0,24.8
Brooklyn,04,CTT,-,-,-,2940.0,121.0,24.3
Brooklyn,04,G&T,-,-,-,939.0,39.0,24.1
Brooklyn,05,GEN ED,-,-,-,16460.0,652.0,25.2
Brooklyn,05,CTT,-,-,-,2498.0,104.0,24.0
Brooklyn,05,G&T,-,-,-,976.0,40.0,24.4
Brooklyn,06,GEN ED,-,-,-,14553.0,552.0,26.4
Brooklyn,06,CTT,-,-,-,3046.0,127.0,24.0
Brooklyn,06,G&T,-,-,-,2142.0,71.0,30.2
Brooklyn,07,GEN ED,-,-,-,15006.0,557.0,26.9
Brooklyn,07,CTT,-,-,-,2931.0,118.0,24.8
Brooklyn,07,G&T,-,-,-,2140.0,72.0,29.7
Brooklyn,08,GEN ED,-,-,-,15562.0,576.0,27.0
Brooklyn,08,CTT,-,-,-,2666.0,107.0,24.9
Brooklyn,08,G&T,-,-,-,2464.0,80.0,30.8
Brooklyn,09,GEN ED,-,-,-,165.0,10.0,16.5
Brooklyn,0K-09,SPEC ED,-,-,12:1,2699.0,276.0,9.8
Brooklyn,0K-09,SPEC ED,-,-,12:1:1,7903.0,815.0,9.7
Brooklyn,0K-09,SPEC ED,-,-,15:1,16.0,2.0,8.0
Brooklyn,0K-09,SPEC ED,-,-,6:1:1,6.0,1.0,6.0
Brooklyn,0K-09,SPEC ED,-,-,8:1:1,12.0,1.0,12.0
Brooklyn,MS Core,GEN ED,ENGLISH,MS English Core,-,50800.0,1927.0,26.4
Brooklyn,MS Core,GEN ED,MATH,MS Math Core,-,41593.0,1572.0,26.5
Brooklyn,MS Core,GEN ED,MATH,Integrated Algebra,-,3143.0,111.0,28.3
Brooklyn,MS Core,GEN ED,MATH,Geometry,-,148.0,7.0,21.1
Brooklyn,MS Core,GEN ED,MATH,Trigonometry,-,342.0,12.0,28.5
Brooklyn,MS Core,GEN ED,MATH,Math A,-,1418.0,47.0,30.2
Brooklyn,MS Core,GEN ED,MATH,Math B,-,17.0,1.0,17.0
Brooklyn,MS Core,GEN ED,SCIENCE,MS Science Core,-,41160.0,1535.0,26.8
Brooklyn,MS Core,GEN ED,SCIENCE,Earth Science,-,1896.0,64.0,29.6
Brooklyn,MS Core,GEN ED,SCIENCE,Living Environment,-,3264.0,121.0,27.0
Brooklyn,MS Core,GEN ED,SCIENCE,Chemistry,-,10.0,1.0,10.0
Brooklyn,MS Core,GEN ED,SCIENCE,Physics,-,71.0,3.0,23.7
Brooklyn,MS Core,GEN ED,SCIENCE,Other Science,-,2845.0,108.0,26.3
Brooklyn,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,41981.0,1563.0,26.9
Brooklyn,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,2284.0,79.0,28.9
Brooklyn,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,842.0,35.0,24.1
Brooklyn,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,2264.0,84.0,27.0
Brooklyn,MS Core,CTT,ENGLISH,MS English Core,-,8166.0,329.0,24.8
Brooklyn,MS Core,CTT,MATH,MS Math Core,-,7199.0,288.0,25.0
Brooklyn,MS Core,CTT,MATH,Integrated Algebra,-,81.0,3.0,27.0
Brooklyn,MS Core,CTT,MATH,Trigonometry,-,20.0,1.0,20.0
Brooklyn,MS Core,CTT,MATH,Math A,-,76.0,3.0,25.3
Brooklyn,MS Core,CTT,MATH,Math B,-,33.0,1.0,33.0
Brooklyn,MS Core,CTT,SCIENCE,MS Science Core,-,7221.0,288.0,25.1
Brooklyn,MS Core,CTT,SCIENCE,Earth Science,-,80.0,3.0,26.7
Brooklyn,MS Core,CTT,SCIENCE,Living Environment,-,176.0,7.0,25.1
Brooklyn,MS Core,CTT,SCIENCE,Other Science,-,725.0,29.0,25.0
Brooklyn,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,6891.0,274.0,25.1
Brooklyn,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,75.0,3.0,25.0
Brooklyn,MS Core,CTT,SOCIAL STUDIES,US History & Government,-,161.0,6.0,26.8
Brooklyn,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,262.0,11.0,23.8
Brooklyn,MS Core,SPEC ED,ENGLISH,MS English Core,-,2301.0,216.0,10.7
Brooklyn,MS Core,SPEC ED,MATH,MS Math Core,-,2098.0,198.0,10.6
Brooklyn,MS Core,SPEC ED,MATH,Integrated Algebra,-,10.0,1.0,10.0
Brooklyn,MS Core,SPEC ED,MATH,Geometry,-,11.0,1.0,11.0
Brooklyn,MS Core,SPEC ED,MATH,Math A,-,22.0,2.0,11.0
Brooklyn,MS Core,SPEC ED,MATH,Math B,-,12.0,1.0,12.0
Brooklyn,MS Core,SPEC ED,SCIENCE,MS Science Core,-,2046.0,194.0,10.5
Brooklyn,MS Core,SPEC ED,SCIENCE,Earth Science,-,21.0,2.0,10.5
Brooklyn,MS Core,SPEC ED,SCIENCE,Living Environment,-,21.0,2.0,10.5
Brooklyn,MS Core,SPEC ED,SCIENCE,Other Science,-,125.0,11.0,11.4
Brooklyn,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,2045.0,195.0,10.5
Brooklyn,MS Core,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,11.0,1.0,11.0
Brooklyn,MS Core,SPEC ED,SOCIAL STUDIES,US History & Government,-,68.0,6.0,11.3
Brooklyn,MS Core,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,64.0,6.0,10.7
Brooklyn,09-12,GEN ED,ENGLISH,English 9,-,17374.0,676.0,25.7
Brooklyn,09-12,GEN ED,ENGLISH,English 10,-,16800.0,617.0,27.2
Brooklyn,09-12,GEN ED,ENGLISH,English 11,-,17068.0,638.0,26.8
Brooklyn,09-12,GEN ED,ENGLISH,English 12,-,13754.0,525.0,26.2
Brooklyn,09-12,GEN ED,ENGLISH,MS English Core,-,4635.0,187.0,24.8
Brooklyn,09-12,GEN ED,ENGLISH,Other English,-,15036.0,628.0,23.9
Brooklyn,09-12,GEN ED,MATH,Integrated Algebra,-,24666.0,992.0,24.9
Brooklyn,09-12,GEN ED,MATH,Geometry,-,19168.0,714.0,26.8
Brooklyn,09-12,GEN ED,MATH,Trigonometry,-,11169.0,396.0,28.2
Brooklyn,09-12,GEN ED,MATH,Math A,-,4383.0,166.0,26.4
Brooklyn,09-12,GEN ED,MATH,Math B,-,508.0,16.0,31.8
Brooklyn,09-12,GEN ED,MATH,Other Math,-,6254.0,249.0,25.1
Brooklyn,09-12,GEN ED,SCIENCE,Earth Science,-,20706.0,748.0,27.7
Brooklyn,09-12,GEN ED,SCIENCE,Living Environment,-,32404.0,1224.0,26.5
Brooklyn,09-12,GEN ED,SCIENCE,Chemistry,-,20094.0,720.0,27.9
Brooklyn,09-12,GEN ED,SCIENCE,Physics,-,9981.0,357.0,28.0
Brooklyn,09-12,GEN ED,SCIENCE,Other Science,-,15464.0,597.0,25.9
Brooklyn,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,37971.0,1404.0,27.0
Brooklyn,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,20673.0,753.0,27.5
Brooklyn,09-12,GEN ED,SOCIAL STUDIES,Economics,-,3634.0,136.0,26.7
Brooklyn,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,9571.0,349.0,27.4
Brooklyn,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,9807.0,376.0,26.1
Brooklyn,09-12,CTT,ENGLISH,English 9,-,3076.0,132.0,23.3
Brooklyn,09-12,CTT,ENGLISH,English 10,-,3242.0,120.0,27.0
Brooklyn,09-12,CTT,ENGLISH,English 11,-,2740.0,103.0,26.6
Brooklyn,09-12,CTT,ENGLISH,English 12,-,1559.0,60.0,26.0
Brooklyn,09-12,CTT,ENGLISH,MS English Core,-,758.0,33.0,23.0
Brooklyn,09-12,CTT,ENGLISH,Other English,-,3291.0,134.0,24.6
Brooklyn,09-12,CTT,MATH,Integrated Algebra,-,6606.0,263.0,25.1
Brooklyn,09-12,CTT,MATH,Geometry,-,2092.0,80.0,26.2
Brooklyn,09-12,CTT,MATH,Trigonometry,-,493.0,19.0,25.9
Brooklyn,09-12,CTT,MATH,Math A,-,400.0,18.0,22.2
Brooklyn,09-12,CTT,MATH,Math B,-,24.0,1.0,24.0
Brooklyn,09-12,CTT,MATH,Other Math,-,148.0,7.0,21.1
Brooklyn,09-12,CTT,SCIENCE,Earth Science,-,3981.0,140.0,28.4
Brooklyn,09-12,CTT,SCIENCE,Living Environment,-,7198.0,271.0,26.6
Brooklyn,09-12,CTT,SCIENCE,Chemistry,-,924.0,34.0,27.2
Brooklyn,09-12,CTT,SCIENCE,Physics,-,337.0,14.0,24.1
Brooklyn,09-12,CTT,SCIENCE,Other Science,-,3418.0,125.0,27.3
Brooklyn,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,7061.0,260.0,27.2
Brooklyn,09-12,CTT,SOCIAL STUDIES,US History & Government,-,3359.0,124.0,27.1
